number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_critic_updates,params_n_steps,params_net_arch,user_attrs_Model,state
93,585.564659812414,2022-09-12 07:39:55.055442,2022-09-12 13:36:45.803664,0 days 05:56:50.748222,tanh,512,5,0.98,0.995,0.2170377336291086,0.7,30,256,small,TRPO,COMPLETE
94,591.0515462154714,2022-09-12 08:45:42.877708,2022-09-12 14:45:22.829445,0 days 05:59:39.951737,tanh,512,5,0.98,0.98,0.07526659259709678,0.8,30,256,small,TRPO,COMPLETE
95,575.854558979084,2022-09-12 09:38:27.792905,2022-09-12 15:54:10.345977,0 days 06:15:42.553072,tanh,512,30,0.9,0.98,0.024407873376263246,0.6,5,256,medium,TRPO,COMPLETE
96,585.7805314282288,2022-09-12 10:51:20.385609,2022-09-12 17:24:46.956049,0 days 06:33:26.570440,tanh,512,30,0.9,0.98,0.5673369124596062,0.6,20,256,medium,TRPO,COMPLETE
97,586.7222621301955,2022-09-12 11:10:13.550172,2022-09-12 17:18:08.875984,0 days 06:07:55.325812,tanh,128,30,0.95,0.98,0.03752353907889702,0.6,30,256,small,TRPO,COMPLETE
98,589.0027801469367,2022-09-12 11:31:32.175395,2022-09-12 17:40:15.457119,0 days 06:08:43.281724,tanh,512,30,0.9,0.98,0.10126966018352015,0.6,30,256,small,TRPO,COMPLETE
99,575.8526360364582,2022-09-12 11:39:39.822459,2022-09-12 17:48:21.080303,0 days 06:08:41.257844,tanh,512,30,0.9,0.98,0.0021273629781154092,0.6,30,256,small,TRPO,COMPLETE
100,588.1971417685459,2022-09-12 12:16:39.337303,2022-09-12 18:15:10.818234,0 days 05:58:31.480931,tanh,512,5,1.0,0.98,0.32640406185602316,0.8,30,256,small,TRPO,COMPLETE
101,584.3201491546172,2022-09-12 13:36:45.873536,2022-09-12 19:42:56.034525,0 days 06:06:10.160989,tanh,512,5,1.0,0.98,0.08495423809961455,0.8,30,256,small,TRPO,COMPLETE
102,536.8024076284494,2022-09-12 14:45:22.887079,2022-09-12 20:48:13.757300,0 days 06:02:50.870221,tanh,512,5,0.98,0.98,0.03320123719360096,0.8,30,2048,small,TRPO,COMPLETE
103,439.6583152531554,2022-09-12 15:54:10.403681,2022-09-12 23:21:19.166019,0 days 07:27:08.762338,tanh,512,5,0.98,0.98,0.0013847419989609004,1.0,30,16,small,TRPO,COMPLETE
104,578.685076452721,2022-09-12 17:18:08.932201,2022-09-13 00:05:26.427491,0 days 06:47:17.495290,tanh,512,25,0.98,0.98,0.4250753325783028,0.3,30,256,big,TRPO,COMPLETE
105,588.2608930332573,2022-09-12 17:24:47.007122,2022-09-12 23:37:25.189004,0 days 06:12:38.181882,tanh,512,25,0.98,0.98,0.13663486151979765,0.8,30,256,small,TRPO,COMPLETE
106,592.2997504746751,2022-09-12 17:40:15.509767,2022-09-12 23:41:01.588848,0 days 06:00:46.079081,tanh,512,5,0.98,0.98,0.14489937918844942,0.8,30,256,small,TRPO,COMPLETE
107,588.7021546303278,2022-09-12 17:48:21.134738,2022-09-12 23:53:30.419962,0 days 06:05:09.285224,tanh,512,10,0.9,0.995,0.3951544226792964,2.0,30,256,small,TRPO,COMPLETE
108,465.6473188947597,2022-09-12 18:15:10.870495,2022-09-13 03:01:10.718366,0 days 08:45:59.847871,tanh,512,5,0.98,0.98,0.0886257705978003,0.8,25,8,small,TRPO,COMPLETE
109,525.4050745769457,2022-09-12 19:42:56.083583,2022-09-13 02:55:37.077375,0 days 07:12:40.993792,tanh,128,5,0.9,0.98,0.06827645053831533,1.0,20,16,small,TRPO,COMPLETE
110,582.6134264577427,2022-09-12 20:48:13.806920,2022-09-13 03:06:35.414812,0 days 06:18:21.607892,tanh,64,10,0.9,0.9999,0.13489479234687562,0.7,30,256,small,TRPO,COMPLETE
111,209.3202107863502,2022-09-12 23:21:19.227982,2022-09-13 05:23:00.928517,0 days 06:01:41.700535,leaky_relu,16,5,0.98,0.9999,0.9069538391008095,0.9,5,256,small,TRPO,COMPLETE
112,478.8086635866627,2022-09-12 23:37:25.243618,2022-09-13 06:36:16.832103,0 days 06:58:51.588485,elu,512,20,0.9,0.995,0.20864742818762835,0.7,30,256,medium,TRPO,COMPLETE
113,588.62783159318,2022-09-12 23:41:01.638922,2022-09-13 05:41:29.743634,0 days 06:00:28.104712,tanh,512,10,0.9,0.95,0.25833970083374036,0.7,10,256,small,TRPO,COMPLETE
114,591.1212685147547,2022-09-12 23:53:30.469493,2022-09-13 06:26:24.715158,0 days 06:32:54.245665,tanh,32,5,0.98,0.99,0.15859064419287183,0.8,30,256,small,TRPO,COMPLETE
115,582.4174382761278,2022-09-13 00:05:26.482767,2022-09-13 06:42:07.737018,0 days 06:36:41.254251,tanh,16,5,0.9,0.98,0.014164455376393886,0.8,20,1024,small,TRPO,COMPLETE
116,586.5700916410536,2022-09-13 02:55:37.128360,2022-09-13 09:16:44.975482,0 days 06:21:07.847122,elu,8,5,0.9,0.999,0.4103673419372258,0.9,5,256,small,TRPO,COMPLETE
117,591.123906138683,2022-09-13 03:01:10.769608,2022-09-13 09:37:09.364674,0 days 06:35:58.595066,tanh,16,5,0.9,0.999,0.10145253532199619,0.8,20,256,small,TRPO,COMPLETE
118,592.8297190094927,2022-09-13 03:06:35.471058,2022-09-13 09:09:05.400230,0 days 06:02:29.929172,tanh,128,5,0.92,0.98,0.8695464071742466,0.7,20,256,small,TRPO,COMPLETE
119,585.8525622408122,2022-09-13 05:23:00.978324,2022-09-13 12:13:40.765686,0 days 06:50:39.787362,relu,16,5,0.9,0.99,0.8060932085702708,0.8,25,256,small,TRPO,COMPLETE
120,590.2939013339525,2022-09-13 05:41:29.801309,2022-09-13 12:25:47.890515,0 days 06:44:18.089206,tanh,16,5,0.9,0.999,0.14684012624037895,0.8,20,256,small,TRPO,COMPLETE
121,502.50389482703315,2022-09-13 06:26:24.764276,2022-09-13 12:24:57.580736,0 days 05:58:32.816460,leaky_relu,32,5,0.98,0.99,0.08860117419397547,0.8,5,1024,small,TRPO,COMPLETE
122,593.1629463409555,2022-09-13 06:36:16.885289,2022-09-13 12:52:35.089401,0 days 06:16:18.204112,tanh,16,5,0.95,0.999,0.45122295384218986,0.7,10,256,small,TRPO,COMPLETE
123,570.9822384726483,2022-09-13 06:42:07.787736,2022-09-13 13:37:19.509745,0 days 06:55:11.722009,tanh,16,5,0.9,0.999,0.26333225471316685,0.6,20,32,small,TRPO,COMPLETE
124,402.71520494522485,2022-09-13 09:09:05.447393,2022-09-13 17:32:31.919191,0 days 08:23:26.471798,tanh,128,5,0.92,0.98,0.5979594670756692,0.7,20,8,small,TRPO,COMPLETE
125,590.4822284471545,2022-09-13 09:16:45.031122,2022-09-13 15:09:14.490154,0 days 05:52:29.459032,tanh,128,5,0.99,0.98,0.5897161275295,0.7,20,256,small,TRPO,COMPLETE
126,591.6506784119214,2022-09-13 09:37:09.416332,2022-09-13 16:19:13.642245,0 days 06:42:04.225913,tanh,16,5,0.9,0.999,0.2560687890227401,0.8,20,256,small,TRPO,COMPLETE
127,590.5863259946657,2022-09-13 12:13:40.819966,2022-09-13 18:16:35.283283,0 days 06:02:54.463317,tanh,128,5,0.92,0.98,0.5552844927714211,0.7,30,256,small,TRPO,COMPLETE
128,584.938777358924,2022-09-13 12:24:57.629341,2022-09-13 18:15:03.489108,0 days 05:50:05.859767,tanh,128,5,0.9,0.999,0.12401410599494914,0.8,20,256,small,TRPO,COMPLETE
129,592.4426819829639,2022-09-13 12:25:47.942641,2022-09-13 18:31:00.539650,0 days 06:05:12.597009,tanh,128,5,0.92,0.98,0.5506021822220475,0.7,20,256,small,TRPO,COMPLETE
130,589.9784292531731,2022-09-13 12:52:35.139562,2022-09-13 18:46:28.668943,0 days 05:53:53.529381,tanh,128,5,0.95,0.95,0.10945572825807644,0.7,20,256,small,TRPO,COMPLETE
131,553.1173917585834,2022-09-13 13:37:19.559658,2022-09-13 20:29:32.105865,0 days 06:52:12.546207,tanh,16,5,0.95,0.999,0.3509276167035865,0.7,10,1024,medium,TRPO,COMPLETE
