number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
116,379.0877487485383,2022-09-13 12:28:02.931210,2022-09-13 20:37:41.399848,0 days 08:09:38.468638,tanh,0.92,0.995,0.00048611993810643257,2.0,1024,small,A2C,COMPLETE
117,359.6003364295877,2022-09-13 14:50:04.693019,2022-09-13 23:23:45.088449,0 days 08:33:40.395430,tanh,0.99,0.98,0.0006533589072123616,0.3,1024,big,A2C,COMPLETE
118,301.4277490470713,2022-09-13 15:07:00.496206,2022-09-13 21:50:48.137619,0 days 06:43:47.641413,tanh,0.95,0.95,0.0002056799244773483,0.3,256,small,A2C,COMPLETE
119,263.5924331828502,2022-09-13 16:30:25.942559,2022-09-14 00:55:17.208374,0 days 08:24:51.265815,tanh,0.8,0.95,4.497643975350794e-05,0.3,64,small,A2C,COMPLETE
120,259.3434730096552,2022-09-13 16:58:21.367510,2022-09-14 00:38:05.656276,0 days 07:39:44.288766,elu,0.8,0.995,0.0002503762153300042,2.0,1024,big,A2C,COMPLETE
121,300.20687154015604,2022-09-13 18:09:27.740229,2022-09-14 02:06:28.831107,0 days 07:57:01.090878,tanh,0.8,0.995,0.00011900124064263574,2.0,512,small,A2C,COMPLETE
122,482.5367857686937,2022-09-13 18:23:13.091416,2022-09-14 02:19:43.092823,0 days 07:56:30.001407,tanh,0.92,0.95,0.00020277021834981445,5.0,1024,medium,A2C,COMPLETE
123,252.61251255174793,2022-09-13 19:04:03.335707,2022-09-14 02:45:34.639013,0 days 07:41:31.303306,tanh,0.8,0.995,3.673323817456735e-05,0.3,1024,big,A2C,COMPLETE
124,233.59950280247168,2022-09-13 20:37:41.456119,2022-09-14 04:33:45.744250,0 days 07:56:04.288131,elu,0.8,0.995,0.004070344096459931,2.0,1024,big,A2C,COMPLETE
125,461.10876801883813,2022-09-13 21:50:48.189459,2022-09-14 05:12:38.574871,0 days 07:21:50.385412,tanh,0.8,0.9,0.00047363342184569043,0.5,8,small,A2C,COMPLETE
126,194.9509741318014,2022-09-13 23:23:45.159939,2022-09-14 08:03:09.077331,0 days 08:39:23.917392,leaky_relu,0.92,0.95,0.0005076206820187989,0.5,1024,big,A2C,COMPLETE
